gene,score,logfoldchange,pval,pval_adj,cluster
Qk,28.847446,5.002999,5.454671044356527e-183,2.659312565625112e-180,10
Bcan,28.347845,5.35051,8.897710422041184e-177,4.2139556558787045e-174,10
Plpp3,28.011742,4.7198505,1.168960884178502e-172,5.0991304253007495e-170,10
Mmd2,27.842222,5.238699,1.3379928385499817e-170,5.544642322951124e-168,10
Pea15a,27.527155,8.717034,8.30865043533696e-167,3.202888130608034e-164,10
Igfbpl1,49.33589,9.265438,0.0,0.0,1
Cd24a,28.197632,7.2098837,6.252055014384781e-175,1.381787518912562e-172,1
Neurod2,26.400686,2.873788,1.3455139936486897e-153,1.798648383767797e-151,1
Pantr1,24.181015,4.570785,3.524266092561488e-129,2.607956908495501e-127,1
Xist,23.271793,2.9159667,8.560409783861561e-120,5.216814432988575e-118,1
Meis2,21.713202,1.3079379,1.5395313628738093e-104,6.543403043845195e-103,1
Gm17750,20.941788,1.8622377,2.2293862112134057e-97,8.016118402835881e-96,1
Rpl23a,19.901403,3.0777106,3.956879109419787e-88,1.1691484512966559e-86,1
Bhlhe22,18.671648,0.76014507,8.421460590108917e-78,1.9550998703311684e-76,1
Hs6st2,18.069973,1.1478064,5.494145386995697e-73,1.164590203770341e-71,1
Mn1,17.416426,1.4778674,6.192734551267598e-68,1.1771877055253636e-66,1
Frmd4b,15.8224325,1.4495374,2.179068618283504e-56,3.1852064741329243e-55,1
Gabra2,15.776622,1.3548288,4.506726307038726e-56,6.530025809919049e-55,1
Fam84a,15.058534,1.7952707,3.034445271964619e-51,3.948113408797922e-50,1
Rpl23a-ps3,14.784506,0.8579049,1.844061795650895e-49,2.270963471375129e-48,1
Gm8730,14.475577,0.82570416,1.7286779717518007e-47,2.0165071118759922e-46,1
Rpl6l,14.470418,0.96192014,1.8633548116561515e-47,2.172079420394681e-46,1
Id2,14.205488,0.5134861,8.471009679869286e-46,9.386059923363187e-45,1
Eif1b,13.615352,2.3336303,3.245779365135144e-42,3.282613713025024e-41,1
Tsc22d1,13.574204,1.6508799,5.695877160780194e-42,5.722112716187424e-41,1
Cdk4,13.068809,0.8940649,4.963704220458682e-39,4.643248372365864e-38,1
Tspan13,12.325043,0.889199,6.640836519451953e-35,5.542724377967552e-34,1
Fam107b,12.119764,1.4367247,8.299754231464692e-34,6.724180163282441e-33,1
Sema3c,12.004259,2.1721332,3.374709669937792e-33,2.6790798605789674e-32,1
Marcksl1,11.692947,2.8278823,1.3849539753610469e-31,1.0497026564053367e-30,1
Islr2,33.076523,5.063697,6.467161911880254e-240,1.0719967585132709e-235,5
Rprm,30.514519,7.4555097,1.6726151743766554e-204,1.386263456523372e-200,5
Hs3st4,29.858984,4.705927,6.711674649701554e-196,2.781317974836324e-192,5
Tle4,29.527275,4.2423263,1.285952171777392e-191,4.2631886398764103e-188,5
Akap7,27.405497,4.259637,2.358593511396566e-165,6.516007674151579e-162,5
Calm2,25.381788,25.265644,4.007361775183426e-142,9.489432683634353e-139,5
Wnt7b,24.586147,3.4075286,1.776949124844915e-133,3.2727454103810344e-130,5
Ppp1r1b,23.677572,5.487425,6.1396134376747245e-124,9.251839303899657e-121,5
Sncb,23.415277,3.0261676,2.9867124299471256e-121,4.125645436566963e-118,5
Nxph3,23.227312,5.2372026,2.4124915824064248e-119,2.856390033569207e-116,5
Id2,22.48119,6.137729,6.341762060221822e-112,5.840058217235385e-109,5
Dync1i1,21.20757,2.432087,8.130919544435089e-100,3.96406242260459e-97,5
Snap25,21.195663,2.6545496,1.0471273227214728e-99,4.959195000408895e-97,5
Kctd12,20.168304,2.5771444,1.8590064000899594e-90,6.698889149541558e-88,5
Nfia,19.334929,2.8872595,2.730434810090252e-83,7.299949582589681e-81,5
Snca,18.931837,1.9374912,6.2349135188406844e-80,1.4354156456708775e-77,5
Syt6,18.899256,5.0405583,1.1567269434949575e-79,2.6265624404619748e-77,5
Fam110b,18.830017,2.1536238,4.286232596649611e-79,9.473145536275194e-77,5
Bcl11b,18.821291,2.2063737,5.053892460814296e-79,1.1022805451376022e-76,5
Xist,18.34745,4.427584,3.4596633347484614e-75,6.827068980570296e-73,5
Foxp2,17.975458,3.4598901,3.0335073587881775e-72,5.5256503273926183e-70,5
Camk2n1,17.763617,1.8822024,1.352348069493387e-70,2.310981608239421e-68,5
Camkv,17.669691,1.6999017,7.178997058206834e-70,1.202010658957944e-67,5
Smarcd3,17.590733,1.8932345,2.901052041937888e-69,4.808783864716243e-67,5
Marcksl1,17.386269,8.791346,1.0484072634741063e-67,1.6241494204996998e-65,5
Hmgb2,23.48328,53.884003,6.045272227688649e-122,1.0020643244616704e-117,18
2810417H13Rik,23.132301,19.752321,2.1912506108748375e-118,1.816108506293065e-114,18
Pbk,23.006514,14.727269,4.011558639323919e-117,2.2165198668477762e-113,18
H2afv,22.978136,25.024233,7.712808275869725e-117,3.1961877495204136e-113,18
Hmgn2,22.85979,34.257626,1.167905598417738e-115,3.871840639874485e-112,18
H2afz,22.252907,78.4864,1.0571664898388701e-109,2.920598622594852e-106,18
Smc2,22.160255,10.549049,8.307946912148439e-109,1.96732182879675e-105,18
Top2a,22.13947,20.446527,1.317792357790891e-108,2.730465765342726e-105,18
Tmpo,22.011913,10.428628,2.214444853151427e-107,4.078515320648673e-104,18
Birc5,21.84031,13.3148775,9.610192800859738e-106,1.5929855586705103e-102,18
Hmgn1,21.703955,15.135079,1.8825126793197772e-104,2.8367754702186025e-101,18
Smc4,21.546162,10.319441,5.752256926694916e-103,7.945784234741244e-100,18
Ccnd2,21.480618,25.155521,2.3634770791005692e-102,3.0136150817823875e-99,18
Spc24,21.427517,10.592261,7.402402765495233e-102,8.764444874346356e-99,18
Cks2,21.179764,13.817331,1.4676366141211432e-99,1.6218363010448046e-96,18
Anp32e,21.152958,10.134406,2.5917191164937806e-99,2.685021004687557e-96,18
Ccna2,21.145075,12.286935,3.0629963351651287e-99,2.9866016030410104e-96,18
Rrm2,21.12645,10.691818,4.544588555719501e-99,4.185061105533691e-96,18
Mki67,21.061699,12.398449,1.786489023358306e-98,1.5585706342730148e-95,18
Cdca8,21.055744,11.510597,2.0257929461552598e-98,1.6789771937734793e-95,18
Lmnb1,20.883448,8.116851,7.572596368149699e-97,5.977302733259496e-94,18
Cks1b,20.40826,7.587107,1.4122051950590754e-92,1.0640324233317834e-89,18
Spc25,20.360613,11.317807,3.738816451729934e-92,2.6945487610380605e-89,18
Cdca3,20.33261,11.868925,6.618854286575173e-92,4.571422027261253e-89,18
Cdk1,20.215376,13.397015,7.169736285066216e-91,4.7538219464503036e-88,18
Nxph1,28.763405,4.5320034,6.157572402842137e-182,1.0206792014951127e-177,11
Lhx6,27.522554,4.6711764,9.43196009182115e-167,7.817208524101368e-163,11
Rpp25,26.931997,5.7290316,9.270840292332693e-160,3.841836217142668e-156,11
Mafb,26.342678,3.8055964,6.226067598493888e-153,2.0640659302526937e-149,11
Arx,25.938145,3.8438363,2.4742208555121294e-148,6.835447483494843e-145,11
Maf,23.595016,3.204692,4.3359995063998886e-123,8.98419097726057e-120,11
Dlx2,20.639944,2.9410782,1.2020259740837676e-94,1.5326755804932717e-91,11
Nnat,18.154636,7.9033933,1.1800751737439492e-73,1.1506427105870414e-70,11
Gria1,16.769512,2.385287,4.078417763087735e-63,2.331167339342838e-60,11
Nrxn3,16.726652,1.7602739,8.382019032835504e-63,4.631344916276044e-60,11
Dlx1,15.612335,2.1579576,6.000040981297484e-55,2.116099559701853e-52,11
Bcl11b,15.004146,1.2969236,6.897354705486152e-51,2.117232437002564e-48,11
Slc32a1,14.72479,2.776885,4.468561098425289e-49,1.2770839442672e-46,11
Dlx5,14.204818,2.4151797,8.552450722223651e-46,1.890205642287723e-43,11
Gad1,14.143194,2.5710793,2.057292064429078e-45,4.428788735061869e-43,11
Sst,14.01005,13.471682,1.3531063554551333e-44,2.735254993661499e-42,11
Rpl23a,13.004351,5.2437453,1.1557676265316454e-38,1.680526682227066e-36,11
Cited2,12.929672,1.9352001,3.0611921241234004e-38,4.3743379870232315e-36,11
Gad2,12.72002,1.5812347,4.577397718196847e-37,5.836534198217765e-35,11
Nxph2,12.365835,3.4064107,4.00033360481141e-35,4.541748618722872e-33,11
